"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"766325977492361217","766325341417828352","2242015412","2016-08-18 17:28:45 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@28Akotian baas SA ka padhai chalu karu","","","",""
"766325810047361025","766325296479907841","405456587","2016-08-18 17:28:05 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@IngeniousRetard Completed an arcane ritual!","","","",""
"766324747319840769","","","2016-08-18 17:23:52 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Was away from Twitter for a while. Back with a brand new vocabulary set to show off! 😂😂😂","","","",""
"766320924039585792","766319693040943104","91765666","2016-08-18 17:08:40 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@stfuperman bhai to mocks me hi machare hai! GRE will change it's R for record to R for Rohith! @28Akotian @IngeniousRetard @kimuchni_w485","","","",""
"766313907216453636","766313499475648515","405456587","2016-08-18 16:40:47 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@IngeniousRetard Underdog story likhnewalai sablog bro! @stfuperman @kimuchni_w485","","","",""
"766311666728534016","766311274623795200","405456587","2016-08-18 16:31:53 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@IngeniousRetard 😂😂😂😂😂 That unexpected day when the unexpected happens! #makingindiagreatagain","","","",""
"762694243525730304","","","2016-08-08 16:57:32 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WTF are you smoking? These athletes don't get proper infrastructure, motivation, funding and support. #Rio2016 https://t.co/ItqT3tHanT","","","","https://twitter.com/DeShobhaa/status/762658754152325120"
"754707313680904193","754707092636897280","715528527764922369","2016-07-17 16:00:20 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@HolaniPriya Iss saal diwali jaldi ayi hai! @stfuperman @MayuriJadhav441 @IngeniousRetard","","","",""
"754596784677150720","","431336956","2016-07-17 08:41:07 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@JabongIndia Your delivery guy didn't visit my place.Now you give me a 24 hr ultimatum but no one picks up the call! Don't hang up on me :p","","","",""
"754595844813447168","754592358373658624","2915308411","2016-07-17 08:37:23 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@MayuriJadhav441 like when you have a mock wedding dinner before the wedding.😂 @akash_barve @stfuperman","","","",""
"754573688679174145","754573105784291328","91765666","2016-07-17 07:09:21 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@stfuperman @MayuriJadhav441 @IngeniousRetard @HolaniPriya 😂😂😂😂 Dress rehearsal hai abhi.","","","",""
"753976720945020928","","","2016-07-15 15:37:13 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","That awkward moment when #NiceAttack has two connotations. What has the world come to!? 😧","","","",""
"752156988172275712","","","2016-07-10 15:06:15 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hear hear ! https://t.co/YRzgt4CPxl","","","","https://twitter.com/PankeshWadekar/status/752065963525279744"
